0.25,0.25,4.30,4.30,20.55,20.55
0.35,0.35,4.60,4.60,20.90,20.90
0.25,0.25,4.35,4.35,21.00,21.00
-0.35,-0.35,4.70,4.70,21.30,21.30
0.30,0.30,4.50,4.50,20.80,20.80
